plate	row	col	a450_620	stype	detail	dilution	above_baseline	ngml	ngml_trunc	flag
44	A	1	0.6461	sample	9-IPC-control-A-0-ng/mL	50	TRUE	336.303408909034	336.303408909034	
44	A	2	0.6285	sample	9-IPC-control-B-0-ng/mL	50	TRUE	327.932405339123	327.932405339123	
44	A	3	0.608	sample	9-IPC-heparin-1-mg/mL	50	TRUE	318.156199362887	318.156199362887	
44	A	4	0.6472	sample	9-IPC-heparin-10-ug/mL	50	TRUE	336.825929993533	336.825929993533	
44	A	5	0.5967	sample	9-IPC-heparin-100-ng/mL	50	TRUE	312.755104023326	312.755104023326	
44	A	6	0.6171	sample	9-IPC-heparin-10-ng/mL	50	TRUE	322.499377798398	322.499377798398	
44	A	7	0.5395	sample	9-IPC-heparin-1-ng/mL	50	TRUE	285.273843524418	285.273843524418	
44	A	8	0.5729	sample	9-IPC	50	TRUE	301.349872580149	301.349872580149	
44	B	1	0.6733	sample	9-IPC-control-A-0-ng/mL	50	TRUE	349.20149110788	349.20149110788	
44	B	2	0.6907	sample	9-IPC-control-B-0-ng/mL	50	TRUE	357.428515082901	357.428515082901	
44	B	3	0.6299	sample	9-IPC-heparin-1-mg/mL	50	TRUE	328.599022901332	328.599022901332	
44	B	4	0.6179	sample	9-IPC-heparin-10-ug/mL	50	TRUE	322.880927063878	322.880927063878	
44	B	5	0.5899	sample	9-IPC-heparin-100-ng/mL	50	TRUE	309.500590227904	309.500590227904	
44	B	6	0.5972	sample	9-IPC-heparin-10-ng/mL	50	TRUE	312.994278240048	312.994278240048	
44	B	7	0.4775	sample	9-IPC-heparin-1-ng/mL	50	TRUE	255.196174866596	255.196174866596	
44	B	8	0.5439	sample	9-IPC	50	TRUE	287.396505380603	287.396505380603	
44	C	1	0.0716	standard	1	1	TRUE	0.903258973843303	1	LLQ
44	C	2	0.1006	standard	1	1	TRUE	1.23196771267218	1.23196771267218	
44	C	3	2.5898	sample	9-IPC-heparin-1-mg/mL	10	TRUE	238.818671934519	200	ULQ
44	C	4	2.8875	sample	9-IPC-heparin-10-ug/mL	10	TRUE	263.752758480435	200	ULQ
44	C	5	2.7659	sample	9-IPC-heparin-100-ng/mL	10	TRUE	253.596568595141	200	ULQ
44	C	6	2.869	sample	9-IPC-heparin-10-ng/mL	10	TRUE	262.210062352429	200	ULQ
44	C	7	2.6172	sample	9-IPC-heparin-1-ng/mL	10	TRUE	241.123638163429	200	ULQ
44	C	8	1.0673	sample	v1205.6+C-IPC	50	TRUE	531.716800324709	531.716800324709	
44	D	1	0.1492	standard	2	1	TRUE	1.76531062449001	1.76531062449001	
44	D	2	0.1696	standard	2	1	TRUE	1.98434604306083	1.98434604306083	
44	D	3	2.428	sample	9-IPC-heparin-1-mg/mL	10	TRUE	225.163307134221	200	ULQ
44	D	4	2.8084	sample	9-IPC-heparin-10-ug/mL	10	TRUE	257.150571806373	200	ULQ
44	D	5	2.7479	sample	9-IPC-heparin-100-ng/mL	10	TRUE	252.089909598704	200	ULQ
44	D	6	2.8029	sample	9-IPC-heparin-10-ng/mL	10	TRUE	256.690908053296	200	ULQ
44	D	7	2.5226	sample	9-IPC-heparin-1-ng/mL	10	TRUE	233.156543801033	200	ULQ
44	D	8	1.0187	sample	v1205.6+C-IPC	50	TRUE	509.574676215257	509.574676215257	
44	E	1	0.3273	standard	4	1	TRUE	3.61577960696397	3.61577960696397	
44	E	2	0.3463	standard	4	1	TRUE	3.80687124012809	3.80687124012809	
44	E	3	0.6917	sample	9-IPC-ASO-1-mg/mL	50	TRUE	357.900778355349	357.900778355349	
44	E	4	0.6988	sample	9-IPC-ASO-10-ug/mL	50	TRUE	361.252138547209	361.252138547209	
44	E	5	0.6083	sample	9-IPC-ASO-100-ng/mL	50	TRUE	318.299471118962	318.299471118962	
44	E	6	0.5937	sample	9-IPC-ASO-10-ng/mL	50	TRUE	311.319690587566	311.319690587566	
44	E	7	0.5409	sample	9-IPC-ASO-1-ng/mL	50	TRUE	285.949399353408	285.949399353408	
44	E	8	0.0158	control	blocking	1	FALSE	0.227441547653254	1	LLQ
44	F	1	0.5492	standard	5	1	TRUE	5.79902717523348	5.79902717523348	
44	F	2	0.5313	standard	5	1	TRUE	5.62627854948339	5.62627854948339	
44	F	3	0.703	sample	9-IPC-ASO-1-mg/mL	50	TRUE	363.233231925836	363.233231925836	
44	F	4	0.6779	sample	9-IPC-ASO-10-ug/mL	50	TRUE	351.378237918726	351.378237918726	
44	F	5	0.6022	sample	9-IPC-ASO-100-ng/mL	50	TRUE	315.385061200554	315.385061200554	
44	F	6	0.5852	sample	9-IPC-ASO-10-ng/mL	50	TRUE	307.249233435551	307.249233435551	
