time_x	cp_y
5	-5.42197E-4
6	-2.64156E-4
7	9.38864E-5
8	5.31928E-4
9	-9.7003E-4
10	-7.31988E-4
11	5.86095E-4
12	0.00131
13	4.82267E-4
14	5.00353E-4
15	-3.91562E-4
16	-0.00187
17	-0.00243
18	-7.37094E-4
19	0.00108
20	0.00213
21	0.00296
22	0.00281
23	4.34134E-4
24	-0.00206
25	-0.00314
26	-0.003
27	-0.00202
28	0.00125
29	0.00322
30	0.00353
31	0.00309
32	0.00187
33	-0.00141
34	-0.00379
35	-0.0051
36	-0.00599
37	-0.0052
38	-0.00332
39	-6.60205E-4
40	9.48375E-4
41	9.47343E-4
42	6.59559E-6
43	5.45848E-4
44	-1.049E-4
45	-4.15648E-4
46	-5.75572E-4
47	-4.7271E-6
48	7.06118E-4
49	0.00182
50	0.00283
51	0.00354
52	0.00312
53	0.00174
54	0.00129
55	9.62715E-4
56	0.00158
57	0.00112
58	8.58848E-4
59	5.64764E-4
60	0.00104
61	3.17454E-4
62	-0.01182
63	-0.06676
64	-0.13426
65	-0.21333
66	-0.30437
67	-0.39144
68	-0.42931
69	-0.44182
70	-0.42754
71	-0.38535
72	-0.32673
73	-0.26457
74	-0.2088
75	-0.16781
76	-0.1388
77	-0.11468
78	-0.09891
79	-0.08745
80	-0.07503
81	-0.06418
82	-0.05595
83	-0.04852
84	-0.04292
85	-0.03771
86	-0.03385
87	-0.02935
88	-0.02647
89	-0.02316
90	-0.02016
91	-0.01888
92	-0.01781
93	-0.0141
94	-0.01184
95	-0.01276
96	-0.01101
97	-0.0086
98	-0.00792
99	-0.00812
100	-0.00612
101	-0.00401
102	-0.00526
103	-0.00724
104	-0.00679
105	-0.005
106	-0.00429
107	-0.00221
108	6.0615E-4
109	0.00206
110	0.00176
111	0.002
112	0.00223
113	0.00107
114	0.00126
115	0.00191
116	0.00176
117	0.00164
118	0.0026
119	0.00276
120	0.00193
121	0.00182
122	0.0018
123	0.00148
124	-1.56892E-4
125	8.75598E-4
126	9.58089E-4
127	0.00105
128	6.02578E-4
129	3.74752E-4
130	-0.0013
131	-0.00173
132	-0.00169
133	-8.57627E-4
134	0.00124
135	3.35278E-4
136	-4.73269E-4
137	-0.00141
138	-0.00299
139	-0.00387
140	-0.00241
141	-0.00214
142	-0.00206
143	-0.00206
144	-0.00383
145	-0.00399
146	-0.00388
147	-0.00247
148	-0.00103
149	0.00128
150	0.003
151	0.00469
152	0.00558
153	0.00514
154	0.00458
155	0.00354
156	0.00335
157	0.00286
158	0.00343
159	0.00361
160	0.00317
161	0.00164
162	6.7671E-4
163	-1.9502E-5
164	3.24286E-4
165	-9.21927E-4
166	-0.00205
167	-0.00387
168	-0.00556
169	-0.00567
170	-0.00322
171	-3.38841E-4
172	0.00221
173	0.00279
174	0.00244
175	0.00229
176	9.09679E-4
177	-8.2666E-4
178	4.36578E-4
179	0.00171
180	8.93004E-4
181	9.96217E-4
182	-0.00719
183	-0.05873
184	-0.15603
185	-0.28273
186	-0.43818
187	-0.61465
188	-0.76355
189	-0.8613
190	-0.90811
191	-0.89776
192	-0.8301
193	-0.72839
194	-0.61951
195	-0.52083
196	-0.44234
197	-0.38335
198	-0.33671
199	-0.29693
200	-0.26319
201	-0.2337
202	-0.20904
203	-0.19104
204	-0.17871
205	-0.16859
206	-0.1599
207	-0.15301
208	-0.14422
209	-0.13412
210	-0.12322
211	-0.11226
212	-0.09933
213	-0.08808
214	-0.07842
215	-0.06974
216	-0.06161
217	-0.05682
218	-0.05111
219	-0.04495
220	-0.03855
221	-0.03332
222	-0.02781
223	-0.0234
224	-0.02065
225	-0.02022
226	-0.02056
227	-0.02092
228	-0.01963
229	-0.017
230	-0.01212
231	-0.00714
232	-0.00283
233	-0.00122
234	-0.0026
235	-0.00546
236	-0.00756
237	-0.00984
238	-0.01037
239	-0.00935
240	-0.00793
241	-0.00693
242	-0.00545
243	-0.00525
244	-0.00434
245	-0.00175
246	-7.43877E-4
247	0.00172
248	0.00519
249	0.00609
250	0.00455
251	0.00432
252	0.00259
253	6.07877E-4
254	0.00107
255	0.00147
256	0.00136
257	0.00154
258	3.68418E-4
259	-6.92494E-4
260	3.16445E-4
261	0.00132
262	0.00202
263	0.00267
264	9.25144E-4
265	-0.00279
266	-0.00439
267	-0.00533
268	-0.00537
269	-0.00343
270	-0.00179
271	-0.00118
272	-6.25914E-4
273	-7.92724E-4
274	-0.00232
275	-0.00274
276	-0.00327
277	-0.00282
278	-0.00209
279	-0.00225
280	-0.00212
281	-0.00116
282	-0.00149
283	-0.00215
284	0.00134
285	0.00341
286	0.00435
287	0.00482
288	0.00601
289	0.00301
290	0.00116
291	2.46168E-4
292	-0.00134
293	-0.00249
294	-1.84427E-4
295	0.00204
296	0.00248
297	0.00289
298	0.00179
299	-9.48072E-4
300	-0.00411
301	-0.00492
302	-0.01241
303	-0.05218
304	-0.12278
305	-0.21786
306	-0.34088
307	-0.47946
308	-0.5996
309	-0.68834
310	-0.74343
311	-0.75521
312	-0.72412
313	-0.66149
314	-0.5891
315	-0.5161
316	-0.45269
317	-0.40181
318	-0.36044
319	-0.32142
320	-0.28753
321	-0.25971
322	-0.23818
323	-0.22386
324	-0.21755
325	-0.21421
326	-0.20929
327	-0.20233
328	-0.19242
329	-0.17903
330	-0.16451
331	-0.14969
332	-0.13384
333	-0.11752
334	-0.10301
335	-0.09015
336	-0.07822
337	-0.06834
338	-0.06092
339	-0.05392
340	-0.04705
341	-0.04194
342	-0.0384
343	-0.03335
344	-0.02887
345	-0.02664
346	-0.02666
347	-0.02571
348	-0.02448
349	-0.02317
350	-0.02085
351	-0.01698
352	-0.01543
353	-0.01476
354	-0.01434
355	-0.01404
356	-0.01231
357	-0.00768
358	-0.0042
359	-0.00255
360	-0.0013
361	-0.00231
362	-0.0037
363	-0.00429
364	-0.00325
365	-8.5942E-4
366	0.00202
367	0.00294
368	0.00175
369	4.41461E-4
370	-8.39096E-4
371	-0.00125
372	-0.00131
373	-0.00118
374	-0.00113
375	-4.75471E-4
376	1.97902E-4
377	0.0012
